OCC_CODE,OCC_TITLE,TOT_EMP,A_MEDIAN,A_MEAN,YEAR
17-2011,Aerospace Engineers,63200.0,116500.0,119220.0,2019
17-2020,Agricultural Engineers,1550.0,80720.0,98290.0,2019
17-2021,Agricultural Engineers,1550.0,80720.0,98290.0,2019
17-2030,Bioengineers and Biomedical Engineers,19780.0,91410.0,97090.0,2019
17-2031,Bioengineers and Biomedical Engineers,19780.0,91410.0,97090.0,2019
17-2040,Chemical Engineers,30120.0,108770.0,117090.0,2019
17-2041,Chemical Engineers,30120.0,108770.0,117090.0,2019
17-2050,Civil Engineers,310850.0,87060.0,94360.0,2019
17-2051,Civil Engineers,310850.0,87060.0,94360.0,2019
17-2060,Computer Hardware Engineers,67880.0,117220.0,123030.0,2019
17-2061,Computer Hardware Engineers,67880.0,117220.0,123030.0,2019
17-2070,Electrical and Electronics Engineers,314360.0,101250.0,106240.0,2019
17-2071,Electrical Engineers,185570.0,98530.0,103480.0,2019
17-2072,"Electronics Engineers, Except Computer",128800.0,105570.0,110210.0,2019
17-2080,Environmental Engineers,53150.0,88860.0,94220.0,2019
17-2081,Environmental Engineers,53150.0,88860.0,94220.0,2019
17-2110,"Industrial Engineers, Including Health and Safety",317560.0,88240.0,92830.0,2019
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",25860.0,91410.0,94810.0,2019
17-2112,Industrial Engineers,291710.0,88020.0,92660.0,2019
17-2120,Marine Engineers and Naval Architects,11360.0,92400.0,98730.0,2019
17-2121,Marine Engineers and Naval Architects,11360.0,92400.0,98730.0,2019
17-2130,Materials Engineers,26820.0,93360.0,97890.0,2019
17-2131,Materials Engineers,26820.0,93360.0,97890.0,2019
17-2140,Mechanical Engineers,306990.0,88430.0,93540.0,2019
17-2141,Mechanical Engineers,306990.0,88430.0,93540.0,2019
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",6280.0,91160.0,96990.0,2019
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",6280.0,91160.0,96990.0,2019
17-2160,Nuclear Engineers,15850.0,113460.0,120700.0,2019
17-2161,Nuclear Engineers,15850.0,113460.0,120700.0,2019
17-2170,Petroleum Engineers,32620.0,137720.0,156780.0,2019
17-2171,Petroleum Engineers,32620.0,137720.0,156780.0,2019
17-2190,Miscellaneous Engineers,152340.0,99040.0,102460.0,2019
17-2199,"Engineers, All Other",152340.0,99040.0,102460.0,2019
17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",679310.0,57690.0,60320.0,2019
17-3010,Drafters,192760.0,56830.0,59480.0,2019
17-3011,Architectural and Civil Drafters,98800.0,56340.0,58080.0,2019
17-3012,Electrical and Electronics Drafters,24140.0,61530.0,65720.0,2019
17-3013,Mechanical Drafters,55210.0,57060.0,60500.0,2019
17-3019,"Drafters, All Other",14600.0,52830.0,54840.0,2019
17-3020,"Engineering Technologists and Technicians, Except Drafters",433520.0,59620.0,62130.0,2019
17-3021,Aerospace Engineering and Operations Technologists and Technicians,11540.0,66020.0,68340.0,2019
17-3022,Civil Engineering Technologists and Technicians,68870.0,53410.0,55480.0,2019
17-3023,Electrical and Electronic Engineering Technologists and Technicians,122550.0,65260.0,66240.0,2019
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,14290.0,58350.0,61420.0,2019
17-3025,Environmental Engineering Technologists and Technicians,18010.0,50620.0,54740.0,2019
17-3026,Industrial Engineering Technologists and Technicians,67110.0,56550.0,59400.0,2019
17-3027,Mechanical Engineering Technologists and Technicians,42820.0,56980.0,59160.0,2019
17-3030,Surveying and Mapping Technicians,53030.0,45010.0,48500.0,2019
17-3031,Surveying and Mapping Technicians,53030.0,45010.0,48500.0,2019
17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",88330.0,62990.0,65940.0,2019
19-0000,"Life, Physical, and Social Science Occupations",1288920.0,68160.0,77540.0,2019
19-1000,Life Scientists,311910.0,78080.0,88770.0,2019
19-1010,Agricultural and Food Scientists,30300.0,65160.0,72550.0,2019
19-1011,Animal Scientists,2690.0,60300.0,68570.0,2019
19-1012,Food Scientists and Technologists,13460.0,68970.0,76190.0,2019
19-1013,Soil and Plant Scientists,14150.0,63200.0,69860.0,2019
19-1020,Biological Scientists,108980.0,79580.0,89100.0,2019
19-1021,Biochemists and Biophysicists,31360.0,94490.0,108180.0,2019
19-1022,Microbiologists,18270.0,75650.0,82760.0,2019
19-1023,Zoologists and Wildlife Biologists,19250.0,63270.0,67200.0,2019
